Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Total_Votes
FALSE,accepted,0,FALSE,FALSE,189,0,FALSE,1
FALSE,unreviewed,0,FALSE,FALSE,43,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,34,0,FALSE,25
FALSE,accepted,0,FALSE,FALSE,8,0,FALSE,6
FALSE,accepted,0,TRUE,TRUE,38,0,FALSE,12
FALSE,accepted,0,FALSE,FALSE,35,1,FALSE,3
FALSE,accepted,0,TRUE,TRUE,103,0,FALSE,16
FALSE,accepted,0,TRUE,TRUE,78,3,FALSE,54
FALSE,accepted,0,TRUE,FALSE,37,4,FALSE,23
FALSE,accepted,0,TRUE,FALSE,53,7,FALSE,0
FALSE,accepted,0,TRUE,TRUE,17,3,FALSE,19
FALSE,unreviewed,2,FALSE,FALSE,111,0,FALSE,4
FALSE,accepted,1,FALSE,FALSE,47,0,FALSE,9
FALSE,accepted,0,TRUE,FALSE,48,0,FALSE,1
FALSE,accepted,0,FALSE,TRUE,26,0,FALSE,67
FALSE,unreviewed,2,TRUE,TRUE,170,0,FALSE,17
FALSE,accepted,0,TRUE,TRUE,6,0,FALSE,32
FALSE,accepted,5,FALSE,TRUE,142,2,FALSE,32
FALSE,unreviewed,1,FALSE,FALSE,48,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,56,1,FALSE,2
FALSE,accepted,3,TRUE,TRUE,15,0,FALSE,218
FALSE,accepted,0,FALSE,TRUE,25,0,FALSE,77
FALSE,accepted,0,FALSE,FALSE,47,0,FALSE,1
FALSE,accepted,0,TRUE,TRUE,59,0,FALSE,1
FALSE,accepted,0,TRUE,FALSE,44,0,FALSE,11
FALSE,accepted,2,FALSE,TRUE,53,1,FALSE,108
FALSE,unreviewed,1,TRUE,FALSE,52,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,19,0,FALSE,10
FALSE,accepted,3,TRUE,TRUE,141,0,FALSE,6
FALSE,accepted,3,FALSE,TRUE,79,2,FALSE,35
FALSE,accepted,0,FALSE,FALSE,44,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,154,0,FALSE,10
FALSE,accepted,0,FALSE,FALSE,168,2,FALSE,31
FALSE,accepted,0,FALSE,FALSE,37,0,FALSE,14
FALSE,accepted,0,TRUE,TRUE,14,0,FALSE,69
FALSE,accepted,0,FALSE,TRUE,25,0,FALSE,11
FALSE,accepted,2,TRUE,FALSE,40,0,FALSE,23
FALSE,accepted,0,FALSE,FALSE,81,0,FALSE,0
FALSE,accepted,0,TRUE,TRUE,70,0,FALSE,39
FALSE,unreviewed,0,FALSE,FALSE,93,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,41,0,FALSE,3
FALSE,unreviewed,0,FALSE,FALSE,64,0,FALSE,0
FALSE,accepted,3,FALSE,TRUE,114,0,FALSE,8
FALSE,accepted,2,FALSE,FALSE,81,0,FALSE,62
FALSE,accepted,0,FALSE,TRUE,51,0,FALSE,3
FALSE,accepted,0,FALSE,TRUE,37,0,FALSE,3
FALSE,accepted,0,TRUE,FALSE,25,0,FALSE,36
FALSE,accepted,1,TRUE,FALSE,75,0,FALSE,4
FALSE,accepted,1,TRUE,TRUE,124,0,FALSE,44
TRUE,verified,0,TRUE,FALSE,64,2,TRUE,137
FALSE,accepted,0,FALSE,FALSE,7,0,FALSE,3
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,13
FALSE,accepted,0,TRUE,FALSE,46,6,FALSE,15
TRUE,verified,18,TRUE,FALSE,71,3,TRUE,516
FALSE,unreviewed,0,FALSE,FALSE,86,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,41,0,FALSE,2
FALSE,accepted,0,FALSE,TRUE,100,0,FALSE,4
FALSE,unreviewed,1,FALSE,FALSE,77,0,FALSE,3
FALSE,accepted,0,FALSE,FALSE,109,0,FALSE,25
FALSE,accepted,0,FALSE,TRUE,61,0,FALSE,41
TRUE,verified,20,TRUE,TRUE,82,3,TRUE,504
FALSE,accepted,0,TRUE,FALSE,72,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,37,0,FALSE,2
FALSE,unreviewed,0,FALSE,FALSE,22,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,18,0,FALSE,28
FALSE,accepted,0,TRUE,FALSE,134,0,FALSE,14
FALSE,unreviewed,0,TRUE,FALSE,80,0,FALSE,1
FALSE,accepted,0,TRUE,FALSE,47,0,FALSE,10
FALSE,accepted,0,FALSE,FALSE,192,0,FALSE,65
FALSE,accepted,1,FALSE,TRUE,100,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,144,0,FALSE,68
FALSE,accepted,1,FALSE,TRUE,65,0,FALSE,18
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,48
FALSE,accepted,0,FALSE,FALSE,22,0,FALSE,1
FALSE,accepted,2,TRUE,TRUE,169,0,FALSE,69
FALSE,accepted,0,FALSE,FALSE,34,0,FALSE,3
FALSE,accepted,0,TRUE,TRUE,58,0,FALSE,107
FALSE,accepted,0,FALSE,FALSE,49,0,FALSE,8
FALSE,accepted,0,FALSE,FALSE,6,0,FALSE,12
FALSE,accepted,1,TRUE,TRUE,22,0,FALSE,21
FALSE,accepted,0,TRUE,FALSE,28,0,FALSE,8
FALSE,accepted,0,FALSE,TRUE,82,1,FALSE,89
FALSE,accepted,1,FALSE,TRUE,28,0,FALSE,-1
FALSE,accepted,0,FALSE,FALSE,170,0,FALSE,43
FALSE,accepted,1,FALSE,FALSE,22,0,FALSE,274
FALSE,unreviewed,0,FALSE,FALSE,30,0,FALSE,2
FALSE,accepted,0,FALSE,FALSE,56,0,FALSE,9
FALSE,accepted,1,FALSE,FALSE,121,1,FALSE,21
FALSE,unreviewed,0,TRUE,FALSE,147,0,FALSE,0
FALSE,accepted,3,FALSE,FALSE,80,0,FALSE,42
FALSE,accepted,0,FALSE,FALSE,70,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,73,2,FALSE,27
TRUE,verified,21,FALSE,TRUE,62,2,TRUE,559
FALSE,accepted,0,FALSE,TRUE,80,1,FALSE,169
FALSE,accepted,0,TRUE,FALSE,110,0,FALSE,3
FALSE,accepted,4,FALSE,TRUE,147,1,FALSE,100
FALSE,accepted,0,FALSE,FALSE,118,0,FALSE,10
FALSE,unreviewed,0,FALSE,FALSE,143,0,FALSE,2
FALSE,accepted,1,FALSE,FALSE,96,0,FALSE,90
FALSE,accepted,0,FALSE,TRUE,44,0,FALSE,2
FALSE,accepted,0,FALSE,TRUE,29,3,FALSE,33
FALSE,accepted,0,FALSE,TRUE,50,0,FALSE,0
FALSE,accepted,1,FALSE,FALSE,27,1,FALSE,47
FALSE,unreviewed,0,FALSE,FALSE,67,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,222,0,FALSE,70
FALSE,accepted,0,FALSE,FALSE,34,0,FALSE,6
FALSE,unreviewed,0,FALSE,FALSE,51,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,107,0,FALSE,49
FALSE,unreviewed,0,FALSE,FALSE,41,0,FALSE,0
FALSE,unreviewed,3,FALSE,FALSE,162,0,FALSE,3
FALSE,unreviewed,0,FALSE,FALSE,42,0,FALSE,1
FALSE,accepted,0,TRUE,TRUE,35,0,FALSE,9
FALSE,accepted,0,FALSE,TRUE,41,0,FALSE,17
FALSE,unreviewed,0,FALSE,FALSE,42,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,7,0,FALSE,2
FALSE,accepted,1,TRUE,TRUE,38,6,FALSE,82
FALSE,unreviewed,0,TRUE,FALSE,23,4,FALSE,1
FALSE,unreviewed,0,FALSE,FALSE,33,0,FALSE,0
FALSE,accepted,1,FALSE,TRUE,31,0,FALSE,11
FALSE,accepted,0,TRUE,FALSE,59,0,FALSE,9
FALSE,accepted,0,TRUE,TRUE,182,3,FALSE,3
FALSE,accepted,0,TRUE,FALSE,18,0,FALSE,18
FALSE,accepted,0,FALSE,FALSE,42,0,FALSE,3
FALSE,accepted,0,TRUE,TRUE,6,2,FALSE,26
TRUE,verified,0,TRUE,FALSE,136,2,TRUE,116
FALSE,accepted,0,FALSE,FALSE,35,0,FALSE,2
FALSE,accepted,0,FALSE,TRUE,60,0,FALSE,23
FALSE,accepted,0,FALSE,FALSE,142,0,FALSE,4
FALSE,accepted,0,TRUE,TRUE,65,2,FALSE,5
FALSE,accepted,4,TRUE,TRUE,92,0,FALSE,30
FALSE,accepted,0,FALSE,FALSE,78,0,FALSE,24
FALSE,accepted,0,FALSE,FALSE,29,0,FALSE,25
FALSE,accepted,2,FALSE,FALSE,104,0,FALSE,26
FALSE,accepted,0,FALSE,TRUE,276,0,FALSE,248
FALSE,unreviewed,0,FALSE,FALSE,35,0,FALSE,0
TRUE,verified,22,TRUE,TRUE,7,4,TRUE,1041
FALSE,accepted,0,TRUE,TRUE,41,0,FALSE,10
FALSE,accepted,0,FALSE,TRUE,7,0,FALSE,20
FALSE,accepted,1,FALSE,FALSE,278,0,FALSE,304
FALSE,unreviewed,0,FALSE,FALSE,135,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,111,0,FALSE,94
TRUE,verified,0,TRUE,FALSE,176,3,TRUE,132
FALSE,accepted,2,TRUE,FALSE,9,2,FALSE,61
FALSE,accepted,1,FALSE,TRUE,279,0,FALSE,8
FALSE,accepted,0,TRUE,TRUE,35,0,FALSE,9
FALSE,accepted,1,TRUE,FALSE,7,3,FALSE,7
FALSE,accepted,0,TRUE,FALSE,25,0,FALSE,24
FALSE,unreviewed,0,FALSE,FALSE,78,0,FALSE,4
FALSE,accepted,1,TRUE,TRUE,6,3,FALSE,123
TRUE,verified,12,TRUE,FALSE,67,9,TRUE,105
FALSE,accepted,0,TRUE,TRUE,23,0,FALSE,36
FALSE,accepted,2,TRUE,FALSE,120,0,FALSE,84
FALSE,accepted,0,FALSE,FALSE,19,0,FALSE,41
FALSE,accepted,2,TRUE,TRUE,22,2,FALSE,41
FALSE,unreviewed,0,FALSE,FALSE,30,0,FALSE,4
FALSE,unreviewed,0,FALSE,FALSE,39,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,139,0,FALSE,159
FALSE,unreviewed,0,FALSE,TRUE,30,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,94,0,FALSE,25
FALSE,accepted,0,FALSE,TRUE,46,0,FALSE,9
FALSE,accepted,0,TRUE,TRUE,61,0,FALSE,9
FALSE,unreviewed,0,FALSE,FALSE,69,0,FALSE,1
FALSE,unreviewed,0,FALSE,FALSE,25,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,14,0,FALSE,9
FALSE,unreviewed,0,FALSE,FALSE,80,0,FALSE,2
FALSE,accepted,0,TRUE,TRUE,127,1,FALSE,67
FALSE,accepted,1,FALSE,FALSE,21,0,FALSE,0
FALSE,accepted,1,FALSE,FALSE,52,0,FALSE,12
FALSE,accepted,0,FALSE,TRUE,191,0,FALSE,100
FALSE,accepted,2,FALSE,FALSE,75,0,FALSE,11
FALSE,unreviewed,1,FALSE,FALSE,8,0,FALSE,0
FALSE,accepted,0,TRUE,TRUE,73,0,FALSE,105
FALSE,accepted,0,FALSE,TRUE,20,0,FALSE,22
FALSE,accepted,0,FALSE,FALSE,158,0,FALSE,165
FALSE,accepted,0,FALSE,TRUE,37,1,FALSE,63
FALSE,accepted,0,FALSE,TRUE,74,0,FALSE,10
FALSE,accepted,0,FALSE,FALSE,91,2,FALSE,24
FALSE,accepted,2,TRUE,FALSE,160,0,FALSE,32
FALSE,accepted,0,FALSE,FALSE,42,0,FALSE,4
FALSE,accepted,0,FALSE,FALSE,49,0,FALSE,135
FALSE,accepted,0,FALSE,FALSE,61,0,FALSE,2
FALSE,unreviewed,0,FALSE,FALSE,136,0,FALSE,1
FALSE,accepted,0,TRUE,TRUE,185,0,FALSE,38
FALSE,accepted,0,FALSE,FALSE,82,0,FALSE,5
FALSE,unreviewed,2,FALSE,FALSE,43,0,FALSE,2
FALSE,accepted,0,FALSE,TRUE,30,0,FALSE,4
FALSE,unreviewed,0,FALSE,FALSE,18,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,50,0,FALSE,0
FALSE,accepted,1,TRUE,TRUE,43,0,FALSE,5
FALSE,accepted,5,FALSE,TRUE,191,0,FALSE,188
FALSE,unreviewed,0,FALSE,FALSE,26,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,62,0,FALSE,0
TRUE,verified,6,TRUE,FALSE,6,6,TRUE,276
FALSE,accepted,0,FALSE,FALSE,105,0,FALSE,20
TRUE,accepted,0,FALSE,FALSE,31,26,FALSE,8
FALSE,unreviewed,0,FALSE,FALSE,18,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,88,0,FALSE,8
FALSE,accepted,2,FALSE,TRUE,88,0,FALSE,4
FALSE,accepted,1,TRUE,FALSE,41,0,FALSE,6
FALSE,accepted,2,FALSE,FALSE,79,0,FALSE,1
FALSE,unreviewed,0,TRUE,TRUE,66,1,FALSE,1
FALSE,accepted,0,TRUE,FALSE,94,0,FALSE,101
FALSE,accepted,1,TRUE,TRUE,61,1,FALSE,11
FALSE,accepted,0,FALSE,FALSE,39,0,FALSE,1
FALSE,accepted,0,FALSE,TRUE,42,4,FALSE,11
FALSE,unreviewed,0,FALSE,FALSE,44,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,32,3,FALSE,66
FALSE,accepted,0,TRUE,TRUE,22,3,FALSE,61
FALSE,accepted,0,FALSE,FALSE,30,0,FALSE,2
FALSE,unreviewed,0,FALSE,FALSE,41,0,FALSE,-1
FALSE,accepted,0,FALSE,FALSE,14,0,FALSE,13
FALSE,accepted,0,TRUE,FALSE,40,1,FALSE,2
FALSE,accepted,0,FALSE,FALSE,67,0,FALSE,18
FALSE,accepted,0,TRUE,FALSE,47,1,FALSE,118
FALSE,unreviewed,0,FALSE,FALSE,17,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,202,0,FALSE,96
FALSE,accepted,0,FALSE,FALSE,43,0,FALSE,19
FALSE,accepted,0,TRUE,TRUE,164,0,FALSE,20
FALSE,accepted,0,FALSE,FALSE,143,0,FALSE,59
FALSE,unreviewed,0,FALSE,FALSE,26,0,FALSE,0
FALSE,unreviewed,1,FALSE,FALSE,96,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,109,0,FALSE,32
FALSE,unreviewed,1,FALSE,TRUE,99,0,FALSE,6
FALSE,unreviewed,0,FALSE,FALSE,43,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,104,0,FALSE,4
FALSE,accepted,0,TRUE,FALSE,139,0,FALSE,43
TRUE,verified,52,TRUE,FALSE,59,9,TRUE,396
FALSE,accepted,0,TRUE,FALSE,17,0,FALSE,7
FALSE,accepted,1,FALSE,TRUE,52,0,FALSE,11
FALSE,unreviewed,0,TRUE,FALSE,56,0,FALSE,0
TRUE,verified,79,TRUE,TRUE,105,3,TRUE,1220
FALSE,accepted,1,FALSE,FALSE,89,1,FALSE,2
FALSE,accepted,1,FALSE,FALSE,62,0,FALSE,10
FALSE,accepted,1,FALSE,TRUE,66,0,FALSE,3
FALSE,accepted,1,TRUE,TRUE,31,2,FALSE,92
FALSE,accepted,0,TRUE,FALSE,146,0,FALSE,2
FALSE,accepted,0,FALSE,TRUE,166,0,FALSE,7
FALSE,unreviewed,0,FALSE,FALSE,86,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,26,0,FALSE,68
FALSE,accepted,0,FALSE,TRUE,39,0,FALSE,6
FALSE,accepted,0,TRUE,FALSE,80,0,FALSE,0
TRUE,verified,1,TRUE,FALSE,141,2,TRUE,39
TRUE,verified,1,TRUE,FALSE,49,4,TRUE,87
FALSE,accepted,0,TRUE,TRUE,61,0,FALSE,48
FALSE,accepted,0,FALSE,FALSE,55,0,FALSE,4
FALSE,accepted,0,FALSE,FALSE,179,0,FALSE,2
FALSE,unreviewed,0,FALSE,FALSE,30,0,FALSE,2
FALSE,accepted,1,FALSE,FALSE,71,0,FALSE,15
FALSE,accepted,0,TRUE,TRUE,39,0,FALSE,32
FALSE,accepted,0,FALSE,FALSE,62,1,FALSE,13
FALSE,accepted,0,FALSE,FALSE,54,0,FALSE,95
FALSE,accepted,0,FALSE,FALSE,12,0,FALSE,8
FALSE,accepted,0,FALSE,FALSE,58,0,FALSE,1
FALSE,accepted,1,FALSE,FALSE,20,0,FALSE,2
FALSE,accepted,5,FALSE,FALSE,50,1,FALSE,42
FALSE,accepted,0,FALSE,TRUE,29,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,53,0,FALSE,56
FALSE,unreviewed,0,FALSE,FALSE,127,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,47,0,FALSE,37
FALSE,accepted,0,TRUE,FALSE,100,4,FALSE,60
FALSE,accepted,0,FALSE,TRUE,117,0,FALSE,1
FALSE,accepted,1,TRUE,TRUE,176,0,FALSE,3
FALSE,accepted,3,FALSE,TRUE,55,2,FALSE,54
FALSE,unreviewed,0,FALSE,FALSE,95,0,FALSE,0
FALSE,unreviewed,0,FALSE,TRUE,76,0,FALSE,0
FALSE,unreviewed,1,TRUE,TRUE,64,7,FALSE,3
FALSE,accepted,2,FALSE,TRUE,82,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,102,0,FALSE,10
FALSE,accepted,0,TRUE,FALSE,16,2,FALSE,13
FALSE,accepted,0,FALSE,FALSE,259,0,FALSE,35
FALSE,accepted,1,FALSE,TRUE,53,0,FALSE,7
FALSE,unreviewed,4,TRUE,TRUE,36,0,FALSE,17
FALSE,accepted,4,FALSE,FALSE,148,0,FALSE,255
FALSE,unreviewed,3,TRUE,FALSE,60,0,FALSE,-3
FALSE,accepted,0,FALSE,TRUE,28,0,FALSE,3
FALSE,accepted,1,TRUE,TRUE,53,0,FALSE,22
FALSE,accepted,0,FALSE,FALSE,40,0,FALSE,15
TRUE,verified,4,TRUE,FALSE,76,6,TRUE,238
FALSE,accepted,0,TRUE,TRUE,45,0,FALSE,1
FALSE,accepted,3,TRUE,FALSE,107,1,FALSE,91
FALSE,accepted,0,FALSE,FALSE,75,0,FALSE,15
FALSE,accepted,0,TRUE,TRUE,491,0,FALSE,85
FALSE,accepted,0,FALSE,FALSE,61,0,FALSE,41
FALSE,accepted,0,TRUE,FALSE,126,0,FALSE,372
FALSE,accepted,1,TRUE,TRUE,48,0,FALSE,365
FALSE,accepted,0,TRUE,TRUE,29,2,FALSE,31
FALSE,accepted,0,TRUE,TRUE,32,0,FALSE,153
FALSE,accepted,1,TRUE,FALSE,58,0,FALSE,23
TRUE,accepted,0,TRUE,FALSE,94,12,FALSE,4
FALSE,unreviewed,0,FALSE,FALSE,46,0,FALSE,1
FALSE,unreviewed,0,FALSE,FALSE,5,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,15,0,FALSE,10
TRUE,verified,43,FALSE,TRUE,48,1,TRUE,786
FALSE,accepted,1,TRUE,FALSE,148,0,FALSE,21
FALSE,accepted,0,TRUE,TRUE,240,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,70,0,FALSE,5
FALSE,accepted,3,TRUE,FALSE,44,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,106,0,FALSE,53
FALSE,accepted,0,FALSE,FALSE,158,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,125,0,FALSE,39
FALSE,accepted,0,TRUE,TRUE,55,2,FALSE,1
FALSE,accepted,0,FALSE,FALSE,97,0,FALSE,25
FALSE,accepted,3,FALSE,FALSE,74,0,FALSE,1
FALSE,accepted,0,TRUE,FALSE,24,0,FALSE,91
FALSE,accepted,0,FALSE,FALSE,28,0,FALSE,2
FALSE,accepted,0,FALSE,FALSE,106,0,FALSE,9
FALSE,accepted,1,FALSE,TRUE,40,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,20,0,FALSE,7
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,15
FALSE,accepted,1,TRUE,TRUE,24,0,FALSE,14
FALSE,unreviewed,0,FALSE,FALSE,45,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,25,0,FALSE,5
FALSE,accepted,1,FALSE,FALSE,45,0,FALSE,72
FALSE,unreviewed,0,TRUE,FALSE,43,0,FALSE,3
FALSE,accepted,1,FALSE,TRUE,11,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,117,1,FALSE,18
FALSE,unreviewed,0,FALSE,FALSE,50,0,FALSE,0
FALSE,unreviewed,1,FALSE,FALSE,49,0,FALSE,8
FALSE,unreviewed,1,FALSE,FALSE,126,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,90,0,FALSE,111
FALSE,accepted,2,TRUE,FALSE,45,0,FALSE,28
FALSE,accepted,1,FALSE,FALSE,110,0,FALSE,11
FALSE,accepted,1,FALSE,FALSE,21,0,FALSE,14
FALSE,accepted,0,TRUE,TRUE,94,0,FALSE,10
FALSE,accepted,3,FALSE,FALSE,43,0,FALSE,4
FALSE,accepted,1,FALSE,FALSE,96,0,FALSE,4
FALSE,unreviewed,0,FALSE,FALSE,1,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,199,0,FALSE,8
FALSE,accepted,1,FALSE,FALSE,376,0,FALSE,23
FALSE,unreviewed,1,FALSE,FALSE,115,0,FALSE,17
FALSE,accepted,1,FALSE,FALSE,47,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,34,1,FALSE,0
FALSE,accepted,0,TRUE,TRUE,16,3,FALSE,231
FALSE,accepted,1,TRUE,FALSE,52,0,FALSE,39
FALSE,accepted,0,TRUE,TRUE,128,4,FALSE,13
FALSE,unreviewed,0,FALSE,FALSE,39,0,FALSE,3
FALSE,accepted,0,TRUE,FALSE,48,0,FALSE,4
FALSE,accepted,0,TRUE,TRUE,63,2,FALSE,12
FALSE,unreviewed,0,TRUE,TRUE,241,0,FALSE,5
FALSE,unreviewed,0,FALSE,FALSE,145,0,FALSE,1
FALSE,unreviewed,0,FALSE,FALSE,163,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,228,0,FALSE,2
FALSE,accepted,1,TRUE,TRUE,31,0,FALSE,18
FALSE,accepted,1,FALSE,TRUE,63,0,FALSE,4
FALSE,accepted,5,TRUE,TRUE,13,0,FALSE,47
FALSE,accepted,0,FALSE,FALSE,76,0,FALSE,19
TRUE,verified,3,FALSE,TRUE,84,3,TRUE,327
FALSE,accepted,0,TRUE,TRUE,85,0,FALSE,32
FALSE,accepted,0,FALSE,FALSE,45,1,FALSE,1
FALSE,accepted,0,TRUE,TRUE,68,0,FALSE,3
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,53,0,FALSE,1
FALSE,accepted,4,FALSE,FALSE,71,0,FALSE,38
FALSE,accepted,0,FALSE,FALSE,53,0,FALSE,3
FALSE,accepted,0,FALSE,FALSE,30,0,FALSE,14
FALSE,accepted,0,FALSE,FALSE,114,0,FALSE,1
FALSE,accepted,0,TRUE,TRUE,32,0,FALSE,50
FALSE,accepted,1,FALSE,TRUE,52,0,FALSE,5
FALSE,accepted,3,TRUE,TRUE,83,2,FALSE,87
FALSE,accepted,0,TRUE,TRUE,108,3,FALSE,192
FALSE,accepted,0,TRUE,TRUE,12,3,FALSE,52
FALSE,accepted,1,FALSE,FALSE,167,0,FALSE,39
FALSE,unreviewed,0,FALSE,FALSE,152,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,19,0,FALSE,21
FALSE,unreviewed,0,FALSE,FALSE,66,0,FALSE,0
FALSE,accepted,2,TRUE,FALSE,225,0,FALSE,279
FALSE,accepted,0,TRUE,TRUE,25,0,FALSE,18
FALSE,accepted,0,FALSE,TRUE,60,0,FALSE,8
FALSE,unreviewed,0,TRUE,FALSE,146,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,46,0,FALSE,6
FALSE,accepted,1,TRUE,TRUE,40,0,FALSE,60
FALSE,accepted,1,TRUE,FALSE,17,0,FALSE,29
FALSE,accepted,0,FALSE,FALSE,75,1,FALSE,14
TRUE,verified,43,TRUE,FALSE,30,9,TRUE,211
FALSE,accepted,0,TRUE,TRUE,25,3,FALSE,27
FALSE,accepted,0,TRUE,FALSE,23,1,FALSE,1
FALSE,accepted,0,FALSE,TRUE,216,0,FALSE,83
FALSE,accepted,3,FALSE,FALSE,71,0,FALSE,4
FALSE,accepted,0,TRUE,TRUE,15,0,FALSE,8
FALSE,accepted,0,FALSE,FALSE,35,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,22,0,FALSE,0
TRUE,accepted,0,TRUE,TRUE,142,6,FALSE,2
FALSE,unreviewed,0,FALSE,TRUE,47,0,FALSE,1
FALSE,accepted,2,TRUE,TRUE,9,2,FALSE,61
FALSE,unreviewed,0,TRUE,FALSE,54,0,FALSE,1
FALSE,unreviewed,0,FALSE,FALSE,35,0,FALSE,2
